year,region,pop,chrstgen,islmgen,hindgen,nonrelig,syncgen
1945,Global,1617000000,701350290,130760281,5389197,153486530,428660117
1950,Global,2231000000,696480122,294121067,301349500,192925316,431942094
1955,Global,2536000000,836002102,344072007,328704605,304128449,385702150
1960,Global,2921000000,966967595,435123088,361169167,434629671,325016083
1965,Global,3280000000,1074713786,514634057,397863182,474097850,358844822
1970,Global,3655000000,1176605676,592342288,449824489,588838181,379156729
1975,Global,4023000000,1300116609,663674348,488621807,690431832,372344153
1980,Global,4413000000,1392078609,647139477,537594394,737801266,398417206
1985,Global,4834000000,1506919051,747128591,601622535,788196309,435629032
1990,Global,5313000000,1695081219,999680318,659849828,838271280,469199898
1995,Global,5670000000,1785414969,1154990606,720868905,802280726,503019620
2000,Global,6077000000,1890923184,1314048240,875605734,782412122,562844555
2005,Global,6436000000,1990731467,1426454346,947361362,743821311,569336868
2010,Global,6839000000,2111912953,1555482766,1017342648,788323943,590530545
1945,África,29073000,14588060,5051475,137290,7396,831
1950,África,33707000,16793713,5508523,195524,19918,973
1955,África,34925000,18937318,6002686,278538,53634,1139
1960,África,148806000,61557803,42908236,363925,265053,4646
1965,África,219965000,98101226,56667388,548874,354423,14203
1970,África,255537000,122086968,66818285,991566,446303,17679
1975,África,304944000,155217621,80236326,1112884,930997,22758
1980,África,355730000,187105025,96325201,1245049,1416658,25760
1985,África,432444000,228658879,125892684,1463736,2149016,43652
1990,África,483823000,265493449,135413988,1762136,2896489,57936
1995,África,565658000,314790124,163595753,1317227,5092209,48635
2000,África,618965000,336756649,188503322,1902086,5809663,77232
2005,África,703623000,397001958,213125720,2118924,7178005,84834
2010,África,799492401,460005841,246404472,2347387,8889456,97374
1945,Asia,663450000,9919091,36260345,5230216,30637661,423153390
1950,Asia,1300208016,45163397,189121761,301106975,69193934,425681485
1955,Asia,1436233000,58967413,210722747,328331380,161895190,378770746
1960,Asia,1594029976,74184616,240171009,360471285,278617080,317448262
1965,Asia,1772609960,85484649,275213701,396909711,305127190,350788060
1970,Asia,2013375984,102736795,318451549,448086953,398889032,370782297
1975,Asia,2217498000,136065411,348716105,486416662,476180772,363792820
1980,Asia,2313547024,154724504,283527127,534285058,507413215,388806341
1985,Asia,2525823952,175024514,313273334,598009426,542261654,425483823
1990,Asia,2937844992,222571100,508795898,656018252,561364124,459167251
1995,Asia,3228425512,259779112,606168389,717365785,574222830,492135244
2000,Asia,3488405040,256892044,697689629,870077984,584748329,549045116
2005,Asia,3666155352,275275093,749421842,940599251,524304023,555845044
2010,Asia,3857553138,287921863,804756836,1008830303,541453380,578913544
1945,Europa,560750000,420908000,29353397,21691,99829250,5896
1950,Europa,486520000,347718164,30109208,44995,100773236,9763
1955,Europa,603716000,441172436,33390170,93684,118537427,26391
1960,Europa,639466000,458326158,35477503,142373,133709658,37975
1965,Europa,676315000,476176756,36814738,191110,147965351,49559
1970,Europa,703129248,488279742,38264883,242896,162011668,62146
1975,Europa,728414000,492828160,39403622,347975,177802241,62559
1980,Europa,750079338,497039880,40611837,452955,192888938,62972
1985,Europa,769476405,496457481,42150125,474973,210577941,89957
1990,Europa,845942719,547627544,43630843,545390,236076477,243791
1995,Europa,745952000,512007252,41542293,699215,176181859,302461
2000,Europa,745596883,571107445,47729841,764336,113729094,129943
2005,Europa,744761600,559337643,51230517,996551,114977698,426992
2010,Europa,754067657,557677984,51222711,1125071,130820732,548795
1945,América,289375655,251923444,0,0,23011662,5500000
1950,América,322455008,281690994,20770,2006,22938228,6249873
1955,América,358220000,311270834,2730,1003,23641928,6898286
1960,América,409598148,367425078,51536,191584,22037603,7525200
1965,América,450956507,408896646,89968,213487,20603206,7993000
1970,América,498934000,455237967,317516,495604,27337768,8294607
1975,América,560925800,508300803,348397,744286,35446166,8466016
1980,América,602026000,542406604,3221290,1580032,35846456,9519133
1985,América,655792000,595590679,2982068,1592400,33185698,10002600
1990,América,707106969,643316975,2884257,1205851,36292691,9701954
1995,América,754990021,681814919,2988500,1481887,46460699,10533280
2000,América,823033224,709488193,4048465,1720060,76349251,13592264
2005,América,875196370,740879276,4521572,2191657,94709150,12979998
2010,América,928209348,786493468,4478680,2755503,103547575,10970832
1945,Oceanía,7392000,7079273,16499,0,213616,16692
1950,Oceanía,8179000,7804437,17994,0,280376,13986
1955,Oceanía,9200000,8723353,19624,1229,368000,11718
1960,Oceanía,10275000,9747250,21254,2458,411000,9451
1965,Oceanía,11388000,10696019,22884,3686,569400,7183
1970,Oceanía,13027000,11887218,64918,213713,750418,5115
1975,Oceanía,14462000,12653480,72159,242186,1305532,5177
1980,Oceanía,15556000,13264920,79565,284458,1761300,5240
1985,Oceanía,16891000,13984790,145269,314529,2128448,16020
1990,Oceanía,18260000,14909370,211040,289000,2395210,26800
1995,Oceanía,19411000,15412065,292785,317419,2832368,43857
2000,Oceanía,20438000,15699892,363939,375402,3177348,60057
2005,Oceanía,22021000,15772768,405559,390265,4508913,65000
2010,Oceanía,23140251,14487581,529549,420609,6656207,70000
